true_digit,true_word,predicted_digit,predicted_word
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,2,two
2,two,2,two
2,two,2,two
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,2,two
2,two,2,two
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,7,seven
2,two,7,seven
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,2,two
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,7,seven
2,two,7,seven
2,two,5,five
2,two,2,two
2,two,2,two
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,2,two
2,two,2,two
2,two,2,two
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,5,five
2,two,7,seven
2,two,2,two
2,two,2,two
2,two,2,two
2,two,5,five
2,two,7,seven
2,two,2,two
2,two,5,five
2,two,2,two
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,2,two
2,two,5,five
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,2,two
2,two,2,two
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,7,seven
2,two,2,two
2,two,7,seven
2,two,2,two
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,5,five
5,five,7,seven
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
5,five,5,five
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
7,seven,7,seven
